"protein","repeatID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cutoff","Rsp_SAT",151.029502035396,-0.988229360754808,0.875273223695812,-1.12905243071648,0.25887571657545,0.999618675316985
"Deadlock","Rsp_SAT",104.407468245613,-1.32187932972695,0.920035244314603,-1.43677031711074,0.150783267219751,0.998380646089855
"Moonshiner","Rsp_SAT",94.4734666025368,-0.453020549304327,0.25850440011363,-1.75246745937475,0.0796934605305154,0.490015988716558
"Rhino","Rsp_SAT",136.451267044121,0.0256668695681078,0.469555942361456,0.0546620056366998,0.956407739192787,0.99953629639074
"Cutoff","piRNA_cluster_38C2",520.674090071208,-1.78620082847194,0.648528942833133,-2.75423456148129,0.00588295888233314,0.321416884612217
"Cutoff","piRNA_cluster_38C1",372.177442060257,-1.65997849344832,0.646668392459001,-2.56697020111984,0.0102591428331333,0.514388649958963
"Cutoff","piRNA_cluster_42AB",6215.62259323127,-0.752318038387711,0.639282442631182,-1.17681636193745,0.239268810531812,0.999933932630373
"Cutoff","piRNA_cluster_20A",21556.3688986297,0.710747643034513,0.633884972329974,1.12125649614632,0.262178697682522,0.999933932630373
"Cutoff","piRNA_cluster_80F",8897.4974032888,0.42212505269614,0.642319069511655,0.657189040046835,0.511059371905382,0.999933932630373
"Cutoff","piRNA_cluster_flamenco",1971.03137382055,-0.0120224602563689,0.589593845261811,-0.0203910884636699,0.983731392749646,0.999933932630373
"Deadlock","piRNA_cluster_38C1",275.989026674441,-1.40544755948319,0.656536853256312,-2.14069865615679,0.0322983469640646,0.981706755229883
"Deadlock","piRNA_cluster_38C2",391.452367470879,-1.38170334989177,0.651420574175305,-2.12106188331709,0.033916595063655,0.982650436116688
"Deadlock","piRNA_cluster_flamenco",1652.88159688954,0.555418667152166,0.581849167269903,0.954574997087731,0.339792666229906,0.998504371005992
"Deadlock","piRNA_cluster_42AB",5846.75928034774,0.464278101759682,0.628977771887639,0.738147073729373,0.460425080797768,0.998504371005992
"Deadlock","piRNA_cluster_20A",14092.8244238189,0.371094367122826,0.623885094593729,0.594812042054764,0.551969117219943,0.998504371005992
"Deadlock","piRNA_cluster_80F",6269.81812989176,0.334042145091002,0.632687368195494,0.527973469809795,0.597517749866858,0.998504371005992
"Moonshiner","piRNA_cluster_42AB",4070.52030050495,-0.827022404147264,0.0407482035276859,-20.2959230726663,1.39706320500324e-91,6.42183386566489e-89
"Moonshiner","piRNA_cluster_38C2",874.010244391308,1.54994637711871,0.0898521829189245,17.2499579505737,1.11980834906383e-66,2.57369285559836e-64
"Moonshiner","piRNA_cluster_38C1",448.265536974268,1.66992247360573,0.125859738916217,13.2681228166012,3.54346307415846e-40,4.65374817072811e-38
"Moonshiner","piRNA_cluster_20A",9184.66043339387,0.196953578282076,0.0286319426707428,6.87880597369773,6.03562984674794e-12,2.82140120632726e-10
"Moonshiner","piRNA_cluster_80F",3004.54406817579,-0.308161266311461,0.0458961206720567,-6.71432055256646,1.88944538348201e-11,8.40498446394093e-10
"Moonshiner","piRNA_cluster_flamenco",11330.2141024528,-0.0946359784436831,0.0260731449966757,-3.62963418704377,0.000283823158649719,0.00488447837770115
"Rhino","piRNA_cluster_38C1",210.296383002309,-1.46783434525877,0.262567103357989,-5.59032082270221,2.26650455043103e-08,1.55037628574677e-06
"Rhino","piRNA_cluster_38C2",371.385373553303,-1.24482698485111,0.263737706340478,-4.71994316673125,2.35910546708518e-06,0.000123402031565029
"Rhino","piRNA_cluster_42AB",5087.68088802777,-0.300003619375769,0.25813685219408,-1.1621882610942,0.245159001925115,0.999860075164523
"Rhino","piRNA_cluster_20A",11945.761575847,0.268300919529037,0.257044569391766,1.04379143338413,0.296581895904262,0.999860075164523
"Rhino","piRNA_cluster_flamenco",7934.23717844075,0.100869684909989,0.193667183736378,0.520840355933993,0.602477987616581,0.999860075164523
"Rhino","piRNA_cluster_80F",4483.92589436206,-0.109049760600182,0.265024427012498,-0.411470602274105,0.680727493197709,0.999860075164523
