"protein","repeatID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Piwi","Rsp_SAT",133.722658942394,1.96956204636636,0.323176101429652,6.09439261645122,1.09853744253921e-09,4.14202642268882e-08
"Piwi","359bp_SAT",724.737591880318,0.651136178424902,0.242254879373278,2.68781450392006,0.0071921337713965,0.0913917551061434
"Piwi","353bp_SAT",453.517050792139,0.613201527561093,0.297946351506842,2.0580937623833,0.0395811336763859,0.309648324679209
"Piwi","260bp_SAT",106.965536006584,0.563252783702654,0.344727738618823,1.63390618335318,0.102278551206556,0.526265476006887
"Piwi","356bp_SAT",87.2633167659462,0.464531507014851,0.368220181586808,1.2615590623333,0.207107494749275,0.731914074070437
"Piwi","piRNA_cluster_38C1",287.494641450755,1.53842668845117,0.223863932844136,6.87215072524565,6.32410809147861e-12,7.27535935023852e-10
"Piwi","piRNA_cluster_38C2",645.863680023671,0.504200887153231,0.178000088577077,2.83258784410606,0.00461728775686903,0.103644971518011
"Piwi","piRNA_cluster_flamenco",838.662119448794,0.231672295324734,0.171067450166676,1.35427455719372,0.17564880019487,0.857252011976282
"Piwi","piRNA_cluster_42AB",3837.56384409831,0.182587425276429,0.159839238068355,1.14231916695165,0.253321377025764,0.929297890229004
"Piwi","piRNA_cluster_80F",3190.31585993868,-0.12147994560833,0.165275256449131,-0.735015925664101,0.462329795127056,0.993163366637919
"Piwi","piRNA_cluster_20A",8324.03708258602,-0.112394071749436,0.166672189356425,-0.674342085403847,0.500093853496575,0.993163366637919
